region	sex	age_band	residence	count
Podlaskie	female	0-14	private_household	77341
Podlaskie	female	15-17	private_household	18431
Podlaskie	female	18-19	private_household	11101
Podlaskie	female	20-24	private_household	26486
Podlaskie	female	25-29	private_household	28451
Podlaskie	female	30-34	private_household	33087
Podlaskie	female	35-39	private_household	40009
Podlaskie	female	40-44	private_household	44821
Podlaskie	female	45-49	private_household	42011
Podlaskie	female	50-54	private_household	38988
Podlaskie	female	55-59	private_household	36417
Podlaskie	female	60-64	private_household	37995
Podlaskie	female	65-74	private_household	76543
Podlaskie	female	75-89	private_household	56873
Podlaskie	female	90+	private_household	8024
Podlaskie	male	0-14	private_household	81756
Podlaskie	male	15-17	private_household	19379
Podlaskie	male	18-19	private_household	11808
Podlaskie	male	20-24	private_household	27491
Podlaskie	male	25-29	private_household	30532
Podlaskie	male	30-34	private_household	36690
Podlaskie	male	35-39	private_household	42961
Podlaskie	male	40-44	private_household	47560
Podlaskie	male	45-49	private_household	42822
Podlaskie	male	50-54	private_household	38497
Podlaskie	male	55-59	private_household	34867
Podlaskie	male	60-64	private_household	34908
Podlaskie	male	65-74	private_household	62394
Podlaskie	male	75-89	private_household	31538
Podlaskie	male	90+	private_household	2639
Pomorskie	female	0-14	private_household	174450
Pomorskie	female	15-17	private_household	40866
Pomorskie	female	18-19	private_household	24839
Pomorskie	female	20-24	private_household	55561
Pomorskie	female	25-29	private_household	64165
Pomorskie	female	30-34	private_household	81203
Pomorskie	female	35-39	private_household	90891
Pomorskie	female	40-44	private_household	99595
Pomorskie	female	45-49	private_household	92458
Pomorskie	female	50-54	private_household	80181
Pomorskie	female	55-59	private_household	65111
Pomorskie	female	60-64	private_household	66065
Pomorskie	female	65-74	private_household	149815
Pomorskie	female	75-89	private_household	102254
Pomorskie	female	90+	private_household	12289
Pomorskie	male	0-14	private_household	184044
Pomorskie	male	15-17	private_household	43385
Pomorskie	male	18-19	private_household	25885
Pomorskie	male	20-24	private_household	57367
Pomorskie	male	25-29	private_household	63348
Pomorskie	male	30-34	private_household	80835
Pomorskie	male	35-39	private_household	91932
Pomorskie	male	40-44	private_household	99757
Pomorskie	male	45-49	private_household	92818
Pomorskie	male	50-54	private_household	79500
Pomorskie	male	55-59	private_household	64155
Pomorskie	male	60-64	private_household	60991
Pomorskie	male	65-74	private_household	119849
Pomorskie	male	75-89	private_household	63077
Pomorskie	male	90+	private_household	4482
Warmińsko-mazurskie	female	0-14	private_household	88695
Warmińsko-mazurskie	female	15-17	private_household	23086
Warmińsko-mazurskie	female	18-19	private_household	14298
Warmińsko-mazurskie	female	20-24	private_household	32635
Warmińsko-mazurskie	female	25-29	private_household	33015
Warmińsko-mazurskie	female	30-34	private_household	37586
Warmińsko-mazurskie	female	35-39	private_household	46662
Warmińsko-mazurskie	female	40-44	private_household	55773
Warmińsko-mazurskie	female	45-49	private_household	53084
Warmińsko-mazurskie	female	50-54	private_household	46986
Warmińsko-mazurskie	female	55-59	private_household	41693
Warmińsko-mazurskie	female	60-64	private_household	44669
Warmińsko-mazurskie	female	65-74	private_household	97023
Warmińsko-mazurskie	female	75-89	private_household	60863
Warmińsko-mazurskie	female	90+	private_household	7499
Warmińsko-mazurskie	male	0-14	private_household	93596
Warmińsko-mazurskie	male	15-17	private_household	24590
Warmińsko-mazurskie	male	18-19	private_household	14937
Warmińsko-mazurskie	male	20-24	private_household	34739
Warmińsko-mazurskie	male	25-29	private_household	35374
Warmińsko-mazurskie	male	30-34	private_household	41266
Warmińsko-mazurskie	male	35-39	private_household	49549
Warmińsko-mazurskie	male	40-44	private_household	58486
Warmińsko-mazurskie	male	45-49	private_household	54715
Warmińsko-mazurskie	male	50-54	private_household	47248
Warmińsko-mazurskie	male	55-59	private_household	39819
Warmińsko-mazurskie	male	60-64	private_household	41117
Warmińsko-mazurskie	male	65-74	private_household	78061
Warmińsko-mazurskie	male	75-89	private_household	34622
Warmińsko-mazurskie	male	90+	private_household	2180
Wielkopolskie	female	0-14	private_household	253766
Wielkopolskie	female	15-17	private_household	60420
Wielkopolskie	female	18-19	private_household	35962
Wielkopolskie	female	20-24	private_household	81232
Wielkopolskie	female	25-29	private_household	91926
Wielkopolskie	female	30-34	private_household	112543
Wielkopolskie	female	35-39	private_household	129715
Wielkopolskie	female	40-44	private_household	146442
Wielkopolskie	female	45-49	private_household	138922
Wielkopolskie	female	50-54	private_household	121007
Wielkopolskie	female	55-59	private_household	99766
Wielkopolskie	female	60-64	private_household	100585
Wielkopolskie	female	65-74	private_household	225254
Wielkopolskie	female	75-89	private_household	156713
Wielkopolskie	female	90+	private_household	16556
Wielkopolskie	male	0-14	private_household	268006
Wielkopolskie	male	15-17	private_household	63777
Wielkopolskie	male	18-19	private_household	38404
Wielkopolskie	male	20-24	private_household	85790
Wielkopolskie	male	25-29	private_household	94571
Wielkopolskie	male	30-34	private_household	115303
Wielkopolskie	male	35-39	private_household	132611
Wielkopolskie	male	40-44	private_household	149273
Wielkopolskie	male	45-49	private_household	140692
Wielkopolskie	male	50-54	private_household	119983
Wielkopolskie	male	55-59	private_household	95589
Wielkopolskie	male	60-64	private_household	90828
Wielkopolskie	male	65-74	private_household	178140
Wielkopolskie	male	75-89	private_household	92640
Wielkopolskie	male	90+	private_household	5677
Zachodniopomorskie	female	0-14	private_household	102033
Zachodniopomorskie	female	15-17	private_household	26175
Zachodniopomorskie	female	18-19	private_household	16119
Zachodniopomorskie	female	20-24	private_household	36348
Zachodniopomorskie	female	25-29	private_household	38021
Zachodniopomorskie	female	30-34	private_household	47383
Zachodniopomorskie	female	35-39	private_household	56318
Zachodniopomorskie	female	40-44	private_household	68316
Zachodniopomorskie	female	45-49	private_household	66681
Zachodniopomorskie	female	50-54	private_household	58136
Zachodniopomorskie	female	55-59	private_household	47597
Zachodniopomorskie	female	60-64	private_household	49788
Zachodniopomorskie	female	65-74	private_household	123556
Zachodniopomorskie	female	75-89	private_household	79167
Zachodniopomorskie	female	90+	private_household	9397
Zachodniopomorskie	male	0-14	private_household	106940
Zachodniopomorskie	male	15-17	private_household	27435
Zachodniopomorskie	male	18-19	private_household	16619
Zachodniopomorskie	male	20-24	private_household	38259
Zachodniopomorskie	male	25-29	private_household	39868
Zachodniopomorskie	male	30-34	private_household	49399
Zachodniopomorskie	male	35-39	private_household	58411
Zachodniopomorskie	male	40-44	private_household	70434
Zachodniopomorskie	male	45-49	private_household	67566
Zachodniopomorskie	male	50-54	private_household	58343
Zachodniopomorskie	male	55-59	private_household	46399
Zachodniopomorskie	male	60-64	private_household	45990
Zachodniopomorskie	male	65-74	private_household	98115
Zachodniopomorskie	male	75-89	private_household	48091
Zachodniopomorskie	male	90+	private_household	2975
Łódzkie	female	0-14	private_household	149446
Łódzkie	female	15-17	private_household	36986
Łódzkie	female	18-19	private_household	22406
Łódzkie	female	20-24	private_household	51313
Łódzkie	female	25-29	private_household	55484
Łódzkie	female	30-34	private_household	66650
Łódzkie	female	35-39	private_household	77719
Łódzkie	female	40-44	private_household	92931
Łódzkie	female	45-49	private_household	93399
Łódzkie	female	50-54	private_household	84100
Łódzkie	female	55-59	private_household	72802
Łódzkie	female	60-64	private_household	73965
Łódzkie	female	65-74	private_household	179778
Łódzkie	female	75-89	private_household	132529
Łódzkie	female	90+	private_household	15584
Łódzkie	male	0-14	private_household	157915
Łódzkie	male	15-17	private_household	38975
Łódzkie	male	18-19	private_household	23481
Łódzkie	male	20-24	private_household	53985
Łódzkie	male	25-29	private_household	58740
Łódzkie	male	30-34	private_household	70110
Łódzkie	male	35-39	private_household	80366
Łódzkie	male	40-44	private_household	96151
Łódzkie	male	45-49	private_household	93693
Łódzkie	male	50-54	private_household	81752
Łódzkie	male	55-59	private_household	67478
Łódzkie	male	60-64	private_household	64496
Łódzkie	male	65-74	private_household	134032
Łódzkie	male	75-89	private_household	71245
Łódzkie	male	90+	private_household	4475
Śląskie	female	0-14	private_household	270568
Śląskie	female	15-17	private_household	67738
Śląskie	female	18-19	private_household	39978
Śląskie	female	20-24	private_household	89826
Śląskie	female	25-29	private_household	96644
Śląskie	female	30-34	private_household	119580
Śląskie	female	35-39	private_household	148770
Śląskie	female	40-44	private_household	176001
Śląskie	female	45-49	private_household	171938
Śląskie	female	50-54	private_household	149749
Śląskie	female	55-59	private_household	132495
Śląskie	female	60-64	private_household	137832
Śląskie	female	65-74	private_household	311172
Śląskie	female	75-89	private_household	221105
Śląskie	female	90+	private_household	22691
Śląskie	male	0-14	private_household	285271
Śląskie	male	15-17	private_household	70420
Śląskie	male	18-19	private_household	41647
Śląskie	male	20-24	private_household	93088
Śląskie	male	25-29	private_household	100346
Śląskie	male	30-34	private_household	123767
Śląskie	male	35-39	private_household	152530
Śląskie	male	40-44	private_household	180586
Śląskie	male	45-49	private_household	172777
Śląskie	male	50-54	private_household	147869
Śląskie	male	55-59	private_household	125390
Śląskie	male	60-64	private_household	123829
Śląskie	male	65-74	private_household	239188
Śląskie	male	75-89	private_household	128776
Śląskie	male	90+	private_household	8621
Świętokrzyskie	female	0-14	private_household	70462
Świętokrzyskie	female	15-17	private_household	18495
Świętokrzyskie	female	18-19	private_household	11100
Świętokrzyskie	female	20-24	private_household	26681
Świętokrzyskie	female	25-29	private_household	27292
Świętokrzyskie	female	30-34	private_household	30371
Świętokrzyskie	female	35-39	private_household	36986
Świętokrzyskie	female	40-44	private_household	45526
Świętokrzyskie	female	45-49	private_household	44813
Świętokrzyskie	female	50-54	private_household	40471
Świętokrzyskie	female	55-59	private_household	35760
Świętokrzyskie	female	60-64	private_household	37679
Świętokrzyskie	female	65-74	private_household	87587
Świętokrzyskie	female	75-89	private_household	63694
Świętokrzyskie	female	90+	private_household	8196
Świętokrzyskie	male	0-14	private_household	74249
Świętokrzyskie	male	15-17	private_household	19579
Świętokrzyskie	male	18-19	private_household	11653
Świętokrzyskie	male	20-24	private_household	27853
Świętokrzyskie	male	25-29	private_household	29714
Świętokrzyskie	male	30-34	private_household	33987
Świętokrzyskie	male	35-39	private_household	40070
Świętokrzyskie	male	40-44	private_household	47695
Świętokrzyskie	male	45-49	private_household	46515
Świętokrzyskie	male	50-54	private_household	40923
Świętokrzyskie	male	55-59	private_household	34354
Świętokrzyskie	male	60-64	private_household	34646
Świętokrzyskie	male	65-74	private_household	71465
Świętokrzyskie	male	75-89	private_household	37382
Świętokrzyskie	male	90+	private_household	2720
