registered_seat_region	pkd2007_section	expected_workers_band	count
10	U	50-249	0
10	U	250=>	0
12	A	0-9	3585
12	A	10-49	73
12	A	50-249	14
12	A	250=>	1
12	B	0-9	274
12	B	10-49	24
12	B	50-249	11
12	B	250=>	4
12	C	0-9	32063
12	C	10-49	1636
12	C	50-249	383
12	C	250=>	86
12	D	0-9	1009
12	D	10-49	16
12	D	50-249	11
12	D	250=>	4
12	E	0-9	902
12	E	10-49	125
12	E	50-249	42
12	E	250=>	5
12	F	0-9	62820
12	F	10-49	1146
12	F	50-249	119
12	F	250=>	18
12	G	0-9	72621
12	G	10-49	1713
12	G	50-249	233
12	G	250=>	30
12	H	0-9	22115
12	H	10-49	325
12	H	50-249	27
12	H	250=>	5
12	I	0-9	16380
12	I	10-49	542
12	I	50-249	45
12	I	250=>	1
12	J	0-9	32327
12	J	10-49	220
12	J	50-249	38
12	J	250=>	7
12	K	0-9	9418
12	K	10-49	77
12	K	50-249	28
12	K	250=>	4
12	L	0-9	21201
12	L	10-49	359
12	L	50-249	57
12	L	250=>	4
12	M	0-9	47528
12	M	10-49	519
12	M	50-249	51
12	M	250=>	18
12	N	0-9	16924
12	N	10-49	289
12	N	50-249	58
12	N	250=>	20
12	O	0-9	1765
12	O	10-49	205
12	O	50-249	155
12	O	250=>	25
12	P	0-9	14201
12	P	10-49	2225
12	P	50-249	544
12	P	250=>	18
12	Q	0-9	27814
12	Q	10-49	653
12	Q	50-249	124
12	Q	250=>	41
12	R	0-9	7978
12	R	10-49	255
12	R	50-249	58
12	R	250=>	8
12	S	0-9	32339
12	S	10-49	367
12	S	50-249	83
12	S	250=>	11
12	U	0-9	15
12	U	10-49	2
12	U	50-249	1
12	U	250=>	0
14	A	0-9	7704
14	A	10-49	181
14	A	50-249	30
14	A	250=>	1
14	B	0-9	646
14	B	10-49	30
14	B	50-249	6
14	B	250=>	0
14	C	0-9	50891
14	C	10-49	2731
14	C	50-249	589
14	C	250=>	161
14	D	0-9	5799
14	D	10-49	42
14	D	50-249	23
14	D	250=>	11
14	E	0-9	2163
14	E	10-49	196
14	E	50-249	58
14	E	250=>	8
14	F	0-9	94408
14	F	10-49	2261
14	F	50-249	257
14	F	250=>	25
14	G	0-9	162879
14	G	10-49	3717
14	G	50-249	574
14	G	250=>	111
14	H	0-9	45314
14	H	10-49	776
14	H	50-249	129
14	H	250=>	55
14	I	0-9	24213
14	I	10-49	813
14	I	50-249	58
14	I	250=>	18
14	J	0-9	88623
14	J	10-49	779
14	J	50-249	118
14	J	250=>	41
14	K	0-9	25060
14	K	10-49	372
14	K	50-249	205
14	K	250=>	70
14	L	0-9	48350
14	L	10-49	672
14	L	50-249	167
14	L	250=>	25
14	M	0-9	141202
14	M	10-49	1406
14	M	50-249	265
14	M	250=>	75
14	N	0-9	47468
14	N	10-49	890
14	N	50-249	183
14	N	250=>	72
14	O	0-9	2745
14	O	10-49	471
14	O	50-249	261
14	O	250=>	120
14	P	0-9	30813
14	P	10-49	3457
14	P	50-249	1029
14	P	250=>	24
14	Q	0-9	52110
14	Q	10-49	936
14	Q	50-249	174
14	Q	250=>	86
14	R	0-9	14812
14	R	10-49	444
14	R	50-249	112
14	R	250=>	16
14	S	0-9	62013
14	S	10-49	1318
14	S	50-249	261
14	S	250=>	66
14	U	0-9	118
14	U	10-49	39
14	U	50-249	8
14	U	250=>	4
16	A	0-9	2072
16	A	10-49	119
16	A	50-249	22
16	A	250=>	2
16	B	0-9	50
16	B	10-49	6
16	B	50-249	5
16	B	250=>	1
16	C	0-9	7496
16	C	10-49	472
16	C	50-249	125
16	C	250=>	37
16	D	0-9	251
16	D	10-49	6
16	D	50-249	7
16	D	250=>	1
16	E	0-9	198
16	E	10-49	39
16	E	50-249	21
16	E	250=>	1
16	F	0-9	14268
16	F	10-49	257
16	F	50-249	21
16	F	250=>	2
16	G	0-9	18452
16	G	10-49	360
16	G	50-249	43
16	G	250=>	5
16	H	0-9	4685
16	H	10-49	91
16	H	50-249	29
16	H	250=>	1
16	I	0-9	2623
16	I	10-49	98
16	I	50-249	6
16	I	250=>	1
16	J	0-9	3045
16	J	10-49	18
16	J	50-249	3
16	J	250=>	0
16	K	0-9	2739
16	K	10-49	20
16	K	50-249	9
16	K	250=>	0
16	L	0-9	9676
16	L	10-49	54
16	L	50-249	17
16	L	250=>	2
16	M	0-9	8581
16	M	10-49	71
16	M	50-249	10
16	M	250=>	0
16	N	0-9	3428
16	N	10-49	82
16	N	50-249	14
16	N	250=>	2
16	O	0-9	685
16	O	10-49	95
16	O	50-249	82
16	O	250=>	5
16	P	0-9	2737
16	P	10-49	626
16	P	50-249	130
16	P	250=>	3
16	Q	0-9	5725
16	Q	10-49	204
16	Q	50-249	30
16	Q	250=>	13
16	R	0-9	2007
16	R	10-49	102
16	R	50-249	8
16	R	250=>	0
16	S	0-9	7876
16	S	10-49	100
16	S	50-249	12
16	S	250=>	1
16	U	0-9	4
16	U	10-49	1
16	U	50-249	0
16	U	250=>	0
18	A	0-9	2494
18	A	10-49	62
18	A	50-249	27
18	A	250=>	1
18	B	0-9	173
18	B	10-49	15
18	B	50-249	1
18	B	250=>	1
18	C	0-9	15296
18	C	10-49	792
18	C	50-249	244
18	C	250=>	65
18	D	0-9	581
18	D	10-49	12
18	D	50-249	9
18	D	250=>	5
18	E	0-9	323
18	E	10-49	88
18	E	50-249	37
18	E	250=>	3
18	F	0-9	27278
18	F	10-49	396
18	F	50-249	51
18	F	250=>	5
18	G	0-9	33954
18	G	10-49	811
18	G	50-249	132
18	G	250=>	11
18	H	0-9	11044
18	H	10-49	145
18	H	50-249	22
18	H	250=>	8
18	I	0-9	4937
18	I	10-49	165
18	I	50-249	4
18	I	250=>	0
18	J	0-9	8282
18	J	10-49	62
18	J	50-249	4
18	J	250=>	2
18	K	0-9	4084
18	K	10-49	36
18	K	50-249	11
18	K	250=>	0
18	L	0-9	6314
18	L	10-49	111
18	L	50-249	26
18	L	250=>	3
18	M	0-9	17032
18	M	10-49	130
18	M	50-249	22
18	M	250=>	1
18	N	0-9	5586
18	N	10-49	72
18	N	50-249	11
18	N	250=>	10
18	O	0-9	1581
18	O	10-49	180
18	O	50-249	138
18	O	250=>	14
18	P	0-9	5539
18	P	10-49	1344
18	P	50-249	309
18	P	250=>	5
18	Q	0-9	12394
18	Q	10-49	359
18	Q	50-249	69
18	Q	250=>	31
18	R	0-9	3931
18	R	10-49	147
18	R	50-249	23
18	R	250=>	0
18	S	0-9	15549
18	S	10-49	117
18	S	50-249	20
18	S	250=>	5
18	U	0-9	6
18	U	10-49	1
18	U	50-249	0
18	U	250=>	0
20	A	0-9	2177
20	A	10-49	40
20	A	50-249	18
20	A	250=>	0
20	B	0-9	105
20	B	10-49	4
20	B	50-249	2
20	B	250=>	1
20	C	0-9	7172
20	C	10-49	368
20	C	50-249	104
20	C	250=>	28
20	D	0-9	335
20	D	10-49	8
20	D	50-249	7
20	D	250=>	3
20	E	0-9	228
20	E	10-49	36
20	E	50-249	13
20	E	250=>	1
20	F	0-9	14911
20	F	10-49	219
20	F	50-249	32
20	F	250=>	3
20	G	0-9	19142
20	G	10-49	450
20	G	50-249	67
20	G	250=>	5
20	H	0-9	6603
20	H	10-49	113
20	H	50-249	7
20	H	250=>	4
20	I	0-9	2502
20	I	10-49	132
20	I	50-249	12
20	I	250=>	0
20	J	0-9	5640
20	J	10-49	24
20	J	50-249	5
20	J	250=>	0
20	K	0-9	2758
20	K	10-49	27
20	K	50-249	14
20	K	250=>	0
20	L	0-9	4189
20	L	10-49	87
20	L	50-249	15
20	L	250=>	1
20	M	0-9	10262
20	M	10-49	84
20	M	50-249	7
20	M	250=>	0
20	N	0-9	3224
20	N	10-49	42
20	N	50-249	9
20	N	250=>	0
20	O	0-9	858
20	O	10-49	169
20	O	50-249	77
20	O	250=>	10
20	P	0-9	3085
20	P	10-49	549
20	P	50-249	217
20	P	250=>	5
20	Q	0-9	8544
20	Q	10-49	191
20	Q	50-249	36
20	Q	250=>	22
20	R	0-9	1924
20	R	10-49	78
20	R	50-249	12
20	R	250=>	0
20	S	0-9	9417
20	S	10-49	76
20	S	50-249	16
20	S	250=>	0
20	U	0-9	8
20	U	10-49	0
20	U	50-249	0
20	U	250=>	0
22	A	0-9	3331
22	A	10-49	131
22	A	50-249	33
22	A	250=>	1
22	B	0-9	242
22	B	10-49	19
22	B	50-249	2
22	B	250=>	2
22	C	0-9	24474
22	C	10-49	1215
22	C	50-249	330
22	C	250=>	63
22	D	0-9	939
22	D	10-49	15
22	D	50-249	11
22	D	250=>	2
22	E	0-9	545
22	E	10-49	91
22	E	50-249	29
22	E	250=>	7
22	F	0-9	41674
22	F	10-49	855
22	F	50-249	69
22	F	250=>	10
22	G	0-9	44465
22	G	10-49	1078
22	G	50-249	124
22	G	250=>	15
22	H	0-9	16246
22	H	10-49	300
22	H	50-249	54
22	H	250=>	18
22	I	0-9	14182
22	I	10-49	350
22	I	50-249	20
22	I	250=>	1
22	J	0-9	18111
22	J	10-49	104
22	J	50-249	20
22	J	250=>	7
22	K	0-9	7523
22	K	10-49	45
22	K	50-249	31
22	K	250=>	5
22	L	0-9	26254
22	L	10-49	230
22	L	50-249	48
22	L	250=>	5
22	M	0-9	34539
22	M	10-49	314
22	M	50-249	36
22	M	250=>	6
22	N	0-9	12110
22	N	10-49	217
22	N	50-249	62
22	N	250=>	8
22	O	0-9	975
22	O	10-49	157
22	O	50-249	136
22	O	250=>	31
22	P	0-9	9657
22	P	10-49	1300
22	P	50-249	430
22	P	250=>	9
22	Q	0-9	20889
22	Q	10-49	379
22	Q	50-249	103
22	Q	250=>	26
22	R	0-9	5093
22	R	10-49	151
22	R	50-249	29
22	R	250=>	1
22	S	0-9	20847
22	S	10-49	211
22	S	50-249	34
22	S	250=>	3
22	U	0-9	16
22	U	10-49	1
22	U	50-249	0
22	U	250=>	0
24	A	0-9	4800
24	A	10-49	103
24	A	50-249	31
24	A	250=>	1
24	B	0-9	370
24	B	10-49	52
24	B	50-249	30
24	B	250=>	11
24	C	0-9	35098
24	C	10-49	2573
24	C	50-249	603
24	C	250=>	176
24	D	0-9	1152
24	D	10-49	19
24	D	50-249	27
24	D	250=>	8
24	E	0-9	1265
24	E	10-49	177
24	E	50-249	74
24	E	250=>	18
24	F	0-9	55387
24	F	10-49	1581
24	F	50-249	168
24	F	250=>	20
24	G	0-9	88989
24	G	10-49	2511
24	G	50-249	280
24	G	250=>	19
24	H	0-9	23522
24	H	10-49	658
24	H	50-249	77
24	H	250=>	24
24	I	0-9	12955
24	I	10-49	596
24	I	50-249	35
24	I	250=>	5
24	J	0-9	23197
24	J	10-49	240
24	J	50-249	30
24	J	250=>	5
24	K	0-9	12593
24	K	10-49	112
24	K	50-249	31
24	K	250=>	3
24	L	0-9	32221
