region	size	composition	count
Zachodniopomorskie	5	other_multi_person	11616
Łódzkie	1	one_person	55518
Łódzkie	1	couple_with_dependent_children	131876
Łódzkie	1	other_multi_person	31397
Łódzkie	2	one_person	57685
Łódzkie	2	couple_with_dependent_children	137074
Łódzkie	2	other_multi_person	32635
Łódzkie	3	one_person	41131
Łódzkie	3	couple_with_dependent_children	97736
Łódzkie	3	other_multi_person	23269
Łódzkie	4	one_person	32586
Łódzkie	4	couple_with_dependent_children	77430
Łódzkie	4	other_multi_person	18435
Łódzkie	5	one_person	31872
Łódzkie	5	couple_with_dependent_children	75736
Łódzkie	5	other_multi_person	18031
Śląskie	1	one_person	85273
Śląskie	1	couple_with_dependent_children	224619
Śląskie	1	other_multi_person	51559
Śląskie	2	one_person	96438
Śląskie	2	couple_with_dependent_children	254082
Śląskie	2	other_multi_person	58322
Śląskie	3	one_person	70781
Śląskie	3	couple_with_dependent_children	186485
Śląskie	3	other_multi_person	42806
Śląskie	4	one_person	56315
Śląskie	4	couple_with_dependent_children	148372
Śląskie	4	other_multi_person	34057
Śląskie	5	one_person	52643
Śląskie	5	couple_with_dependent_children	138694
Śląskie	5	other_multi_person	31836
Świętokrzyskie	1	one_person	15919
Świętokrzyskie	1	couple_with_dependent_children	48495
Świętokrzyskie	1	other_multi_person	14067
Świętokrzyskie	2	one_person	18422
Świętokrzyskie	2	couple_with_dependent_children	56160
Świętokrzyskie	2	other_multi_person	16291
Świętokrzyskie	3	one_person	14786
Świętokrzyskie	3	couple_with_dependent_children	45075
Świętokrzyskie	3	other_multi_person	13075
Świętokrzyskie	4	one_person	13199
Świętokrzyskie	4	couple_with_dependent_children	40236
Świętokrzyskie	4	other_multi_person	11672
Świętokrzyskie	5	one_person	16156
Świętokrzyskie	5	couple_with_dependent_children	49249
Świętokrzyskie	5	other_multi_person	14286
